netflix_titles.csv/show_id,netflix_titles.csv/type,netflix_titles.csv/title,netflix_titles.csv/director,netflix_titles.csv/cast,netflix_titles.csv/country,netflix_titles.csv/date_added,netflix_titles.csv/release_year,netflix_titles.csv/rating,netflix_titles.csv/duration,netflix_titles.csv/listed_in,netflix_titles.csv/description
b's1690',b'Movie',b'Loving',b'Jeff Nichols',"b'Joel Edgerton, Ruth Negga, Marton Csokas, Nick Kroll, Michael Shannon, Terri Abney, Alano Miller, Jon Bass, Bill Camp, David Jensen'","b'United Kingdom, United States'",2020-11-16,2016,b'PG-13',b'124 min',"b'Dramas, Romantic Movies'","b""A young couple's interracial marriage in 1958 sparks a case that leads to the Supreme Court. Based on the true story of Richard and Mildred Loving."""
b's1691',b'Movie',b'Whose Streets?',"b'Sabaah Folayan, Damon Davis'",,b'United States',2020-11-16,2017,b'R',b'102 min',b'Documentaries',"b'Powered by activists and leaders, this documentary follows the rise of the Black Lives Matter movement following the 2014 killing of Michael Brown.'"
b's1692',b'Movie',b'A Very Country Christmas',b'Justin G. Dyck',"b'Bea Santos, Greyston Holt, Greg Vaughan, Deana Carter, Allison Hossack'","b'United States, Canada'",2020-11-15,2017,b'TV-G',b'84 min',"b'Music & Musicals, Romantic Movies'","b'When an unfulfilled country music star hides out in his hometown, he meets a budding interior designer who finds her way into his heart.'"
b's1693',b'TV Show',"b""America's Next Top Model""",,b'Tyra Banks',b'United States',2020-11-15,2013,b'TV-14',b'2 Seasons',b'Reality TV',b'Supermodel Tyra Banks created and executive-produced this reality series that chronicles the transformation of young women into potential supermodels.'
b's1694',b'TV Show',b'Beyblade Burst Rise',,"b'Erika Harlacher, Griffin Puatu, Kimlinh Tran, Taylor Henry, Janice Roman Roku, Brian Anderson'",b'Japan',2020-11-15,2019,b'TV-Y',b'1 Season',"b""Anime Series, Kids' TV""","b""After training with legendary Valt Aoi, Dante and his trusty Ace Dragon lead the next generation of Bladers to battle in Japan \xe2\x80\x94 Beyblade's birthplace."""
b's1695',b'Movie',b'Cloudy with a Chance of Meatballs 2',"b'Cody Cameron, Kris Pearn'","b'Bill Hader, Anna Faris, James Caan, Will Forte, Andy Samberg, Benjamin Bratt, Neil Patrick Harris, Terry Crews, Kristen Schaal'",b'United States',2020-11-15,2013,b'PG',b'95 min',"b'Children & Family Movies, Comedies'","b'Inventor Flint Lockwood battles mutant food beasts created by his notorious machine, including shrimpanzees, tacodiles and jellyfish sandwiches.'"
b's1696',b'Movie',b'Hometown Holiday',b'Justin G. Dyck',"b'Sarah Troyer, Bradley Hamilton, Kevin McGarry, Samantha Gracie'",b'Canada',2020-11-15,2018,b'TV-G',b'84 min',b'Romantic Movies',"b""An ambitious entertainment lawyer tries to sign a singing sensation in his sister's small town, but a local soon captures his attention \xe2\x80\x94 and heart."""
b's1697',b'TV Show',b'Polly Pocket',,"b'Emily Tennant, Shannon Chan-Kent, Kazumi Evans, Patricia Drake, Rhona Rees, Ian Hanlin, Maryke Hendrikse, Vincent Tong, David Kaye, Ellen Kennedy'","b'Canada, United States, Ireland'",2020-11-15,2021,b'TV-Y',b'2 Seasons',"b""Kids' TV""","b'After uncovering a magical locket that allows her to shrink in size, Polly and her friends set out on big adventures with petite power.'"
b's1698',b'TV Show',b'Survivor',,"b'Jeff Probst, Jerri Manthey, Colby Donaldson, Rupert Boneham, Parvati Shallow, Rob Mariano, Amanda Kimmel, James Clement, Amber Brkich, Alicia Calaway, Ethan Zohn, Tina Wesson'",b'United States',2020-11-15,2014,b'TV-14',b'2 Seasons',b'Reality TV',"b'In this long-running reality competition series, players battle the elements and each other as they vie for $1 million and the title of Sole Survivor.'"
b's1699',b'TV Show',b'The Crown',,"b'Claire Foy, John Lithgow, Matt Smith, Vanessa Kirby, Jared Harris, Victoria Hamilton, Eileen Atkins, Jeremy Northam, Alex Jennings, Ben Miles, Pip Torrens, Will Keen, Harry Hadden-Paton, Daniel Ings, Greg Wise, Harriet Walter, Lia Williams, Matthew Goode, Anton Lesser'","b'United Kingdom, United States'",2020-11-15,2020,b'TV-MA',b'4 Seasons',"b'British TV Shows, International TV Shows, TV Dramas'","b""This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century."""
b's1700',b'Movie',b'White Christmas',b'Michael Curtiz',"b'Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, Dean Jagger, Mary Wickes, John Brascia, Anne Whitfield, George Chakiris'",b'United States',2020-11-15,1954,b'TV-G',b'120 min',"b'Children & Family Movies, Classic Movies, Comedies'","b'Two war buddies fall for two sisters and follow the girls to a resort owned by their former commanding officer, who is in danger of losing the place.'"
b's1701',b'Movie',b'Killer Cove',b'Dami\xc3\xa1n Romay',"b'Haley Webb, Donny Boaz, Cathy Baron, Jason Alan Smith, Dennis Staroselsky, Owen Miller, Shawn Fitzgibbon'",b'United States',2020-11-14,2019,b'TV-14',b'87 min',b'Thrillers',"b'An unlucky woman finds a solution for her hateful ex, a trying job hunt and a stalker through a charming P.I. \xe2\x80\x93 only to endure a new set of problems.'"
b's1702',b'TV Show',b'American Horror Story',,"b""Evan Peters, Sarah Paulson, Jessica Lange, Denis O'Hare, Kathy Bates, Angela Bassett, Lily Rabe, Frances Conroy, Cheyenne Jackson, Emma Roberts, Taissa Farmiga, Wes Bentley, Finn Wittrock, Chlo\xc3\xab Sevigny, Zachary Quinto, Jamie Brewer, Naomi Grossman, Dylan McDermott, Gabourey Sidibe, Lady Gaga, Mare Winningham, Joseph Fiennes, Michael Chiklis, Matt Bomer, Lizzie Brocher\xc3\xa9, Erika Ervin, Mat Fraser, Rose Siggins, Connie Britton, James Cromwell, Adina Porter, Jyoti Amge, Billie Lourde, Alison Pill, Billy Eichner, Leslie Grossman, Colton Haynes, Cuba Gooding Jr., Andr\xc3\xa9 Holland, Danny Huston""",b'United States',2020-11-13,2019,b'TV-MA',b'9 Seasons',"b'TV Horror, TV Mysteries, TV Thrillers'","b""This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil."""
b's1703',b'Movie',b'Fukrey Boyzzz: Space Mein Fukrapanti',b'Avinash Walzade',"b'Viraaj Modgill, Jasleen Singh, Pooja Punjabi, Amit Deondi, Ketan Kava, Zeel Thakkar, Manish Bhavan, Viswanathan Sridhar'",b'India',2020-11-13,2020,b'TV-Y7',b'75 min',"b'Children & Family Movies, Comedies'","b'After a foreboding dream about aliens comes true, a fun-loving trio must prevent human intelligence from being stolen from planet Earth.'"
b's1704',b'Movie',b'Jingle Jangle: A Christmas Journey',b'David E. Talbert',"b'Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin, Justin Cornwell, Sharon Rose, Lisa Davina Phillip, Kieron Dyer'",b'United States',2020-11-13,2020,b'PG',b'124 min',"b'Children & Family Movies, Music & Musicals'","b'Decades after his trusted apprentice betrayed him, a once-joyful toymaker finds new hope when his kind and curious granddaughter comes into his life.'"
b's1705',b'Movie',b'The Beginning of Life 2: Outside',b'Renata Terra',,b'Brazil',2020-11-13,2020,b'TV-PG',b'92 min',"b'Documentaries, International Movies'","b'As urbanization expands throughout society, this documentary discusses the value of finding ways for children to forge real connections with nature.'"
b's1706',b'Movie',b'The Life Ahead',b'Edoardo Ponti',"b'Sophia Loren, Ibrahima Gueye, Renato Carpentieri, Diego Iosif Pirvu, Massimiliano Rossi, Abril Zamora, Babak Karimi'",b'Italy',2020-11-13,2020,b'PG-13',b'95 min',"b'Dramas, International Movies'",b'A Holocaust survivor running a daycare business forms an unlikely friendship with a bitter street kid when she takes him in after he robs her.'
b's1707',b'TV Show',b'The Minions of Midas',b'Mateo Gil',"b'Luis Tosar, Marta Belmonte, Guillermo Toledo, Carlos Blanco, Marta Milans, Goize Blanco, Elena Irureta, Bea Segura, Jorge Andreu, Daniel Holgu\xc3\xadn, Adolfo Fern\xc3\xa1ndez, Fernando Barona, Juan Blanco, Ahmed Boulane, Pepe Ocio, Vito Sanz, Adelfa Calvo, Joaqu\xc3\xadn Climent, Carmelo G\xc3\xb3mez, Miguel \xc3\x81ngel Sol\xc3\xa1'",b'Spain',2020-11-13,2020,b'TV-MA',b'1 Season',"b'Crime TV Shows, International TV Shows, Spanish-Language TV Shows'",b'A millionaire publisher gets a blackmail note \xe2\x80\x94 his decision can mean life or death. Inspired by a Jack London story but set in contemporary Madrid.'
b's1708',b'Movie',b'A Very Special Love',b'Cathy Garcia-Molina',"b'John Lloyd Cruz, Sarah Geronimo, Dante Rivero, Rowell Santiago, Johnny Revilla, Bing Pimental, Daphne Ose\xc3\xb1a-Paez, Al Tantay, Irma Adlawan, Arno Morales, Miles Ocampo'",b'Philippines',2020-11-12,2008,b'TV-G',b'107 min',"b'International Movies, Romantic Movies'","b""After landing a job working for her longtime crush, an optimistic woman realizes that the man of her dreams isn't exactly who she envisioned."""
b's1709',b'TV Show',b'Ethos',,"b'\xc3\x96yk\xc3\xbc Karayel, Fatih Artman, Funda Eryi\xc4\x9fit, Defne Kayalar, Settar Tanr\xc4\xb1\xc3\xb6\xc4\x9fen, T\xc3\xbclin \xc3\x96zen, Alican Y\xc3\xbccesoy, Bige \xc3\x96nal'",b'Turkey',2020-11-12,2020,b'TV-MA',b'1 Season',"b'International TV Shows, TV Dramas'",b'A group of individuals in Istanbul transcend sociocultural boundaries and find connection as their fears and wishes intertwine.'
b's1710',b'Movie',b'First Love',b'Paul Soriano',"b'Aga Muhlach, Bea Alonzo, Sandy Andolong, Albie Casi\xc3\xb1o, Edward Barber, Maureen Mann, Tim Donadt, Giselle Toengi, Raymond Lauchengco, Beverly Salviejo'",b'Philippines',2020-11-12,2018,b'TV-MA',b'123 min',"b'Dramas, International Movies, Romantic Movies'",b'A chance encounter soon intertwines the lives of a reserved businessman and a vibrant photographer who is living with a grave heart condition.'
b's1711',b'Movie',b'Fruitvale Station',b'Ryan Coogler',"b""Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand, Chad Michael Murray, Ahna O'Reilly, Ariana Neal, Keenan Coogler, Trestin George, Joey Oglesby""",b'United States',2020-11-12,2013,b'R',b'85 min',"b'Dramas, Independent Movies'","b""This dramatic rendering of a real-life tragedy recounts the final hours of Oscar Grant, shot by San Francisco transit police on New Year's Day, 2009."""
b's1712',b'TV Show',b'Graceful Friends',,"b'Yu Jun-sang, Song Yoon-a, Bae Soo-bin, Kim Sung-oh, Jung Seok-yong, Kim Won-hae'",b'South Korea',2020-11-12,2020,b'TV-MA',b'1 Season',"b'Crime TV Shows, International TV Shows, TV Dramas'","b'When a sudden death brings everyone\xe2\x80\x99s dirty secrets to the surface, the lives and marriages of a group of close-knit friends unravel out of control.'"
b's1713',b'Movie',b'Ludo',b'Anurag Basu',"b'Abhishek Bachchan, Aditya Roy Kapur, Rajkummar Rao, Sanya Malhotra, Fatima Sana Shaikh, Pankaj Tripathi, Rohit Saraf, Shalini Vatsa, Pearle Maaney'",b'India',2020-11-12,2020,b'TV-MA',b'150 min',"b'Comedies, Dramas, International Movies'","b'From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.'"
b's1714',b'Movie',b'Memories of a Teenager',b'Lucas Santa Ana',"b'Renato Quattordio, Malena Narvay, Thom\xc3\xa1s Lepera, Jer\xc3\xb3nimo Giocondo Bosia, Tom\xc3\xa1s Wicz, Tom\xc3\xa1s Raimondi, Majo Chicar, Agustina Cabo'",b'Argentina',2020-11-12,2019,b'TV-MA',b'97 min',"b'Dramas, International Movies, LGBTQ Movies'","b""To cope with a friend's death, a teen blogs about his daily life but falls further into an existential crisis while experiencing a sexual awakening."""
b's1715',b'Movie',b'Prom Night',b'Nelson McCormick',"b'Brittany Snow, Scott Porter, Jessica Stroup, Dana Davis, Collins Pennie, Kelly Blatz, James Ransone, Brianne Davis, Kellan Lutz, Mary Mara, Ming-Na Wen, Johnathon Schaech, Idris Elba'","b'United States, Canada'",2020-11-12,2008,b'PG-13',b'88 min',b'Horror Movies',"b'On prom night, a high school senior still struggling with her nightmare past tries to evade a killer bent on ending the party for her and her friends.'"
b's1716',b'TV Show',b'A Queen Is Born',b'Carla Barros',"b'Gloria Groove, Alexia Twister'",b'Brazil',2020-11-11,2020,b'TV-14',b'1 Season',"b'International TV Shows, Reality TV'",b'Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.'
b's1717',b'TV Show',"b""Aunty Donna's Big Ol' House of Fun""",,"b'Mark Samual Bonanno, Broden Kelly, Zachary Ruane, Ed Helms, Kristen Schaal, Weird Al Yankovic, Kia Stevens, Paul F. Tompkins, Tawny Newsome'",b'Australia',2020-11-11,2020,b'TV-MA',b'1 Season',b'TV Comedies',"b'Comedy trio Aunty Donna showcase their uniquely absurd and offbeat style through an array of sketches, songs and eclectic characters.'"
b's1718',b'TV Show',b'The Liberator',,"b'Bradley James, Martin Sensmeier, Jose Miguel Vasquez, Forrest Goodluck, Bryan Hibbard, Matt Mercurio, Harrison Stone, Billy Breed, Tatanka Means, Kiowa Gordon'",b'United States',2020-11-11,2020,b'TV-MA',b'1 Season',"b'TV Action & Adventure, TV Dramas'","b'A diverse, deeply brave crew of ragtag soldiers become some of the most heroic fighters of the European invasion in World War II. Based on true events.'"
b's1719',b'TV Show',b'Trial 4',,,b'United States',2020-11-11,2020,b'TV-MA',b'1 Season',"b'Crime TV Shows, Docuseries'","b'Charged as a teen in the 1993 killing of a Boston cop, Sean K. Ellis fights to prove his innocence while exposing police corruption and systemic racism.'"
b's1720',b'Movie',b'We Are All For The Fatherland',,,"b'Lebanon, Canada, France'",2020-11-11,1979,b'TV-14',b'74 min',"b'Documentaries, International Movies'","b'After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.'"
b's1721',b'Movie',b'What We Wanted',b'Ulrike Kofler',"b""Lavinia Wilson, Elyas M'Barek, Anna Unterberger, Lukas Spisser, Iva H\xc3\xb6pperger, Fedor Teyml, Marta Manduca, Maria Hofst\xc3\xa4tter, Tina Haller""",b'Austria',2020-11-11,2020,b'TV-MA',b'93 min',"b'Dramas, International Movies'",b'A couple facing fertility issues finds their marriage tested on a vacation to a Sardinian resort \xe2\x80\x94 and the family next door only adds to the tension.'
b's1722',b'TV Show',b'A Lion in the House',"b'Steven Bognar, Julia Reichert'",,b'United States',2020-11-10,2006,b'TV-14',b'1 Season',b'TV Shows',b'Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.'
b's1723',b'TV Show',b'DASH & LILY',,"b'Midori Francis, Austin Abrams, Dante Brown, Troy Iwata'",b'United States',2020-11-10,2020,b'TV-14',b'1 Season',"b'Romantic TV Shows, TV Comedies, TV Dramas'",b'Opposites attract at Christmas as cynical Dash and sunny Lily trade messages and dares in a red notebook they pass back and forth around New York City.'
b's1724',b'TV Show',b'Bakugan: Armored Alliance',,,,2020-11-06,2020,b'TV-Y7',b'1 Season',"b""Anime Series, Kids' TV""","b'Dan Kouzo and his crew of heroic brawlers battle both challengers and powerful, evil forces as they work to protect humans and the Bakugan.'"
b's1725',b'TV Show',b'Bakugan: Battle Planet',,"b'Jonah Wineberg, Deven Christian Mack, Margarita Valderrama, Ticoon Kim, Jason Deline, Will Bowes'","b'Japan, Canada, United States'",2020-11-06,2018,b'TV-PG',b'1 Season',"b""Anime Series, Kids' TV""",b'Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.'
b's1726',b'Movie',b'Citation',b'Kunle Afolayan',"b'Temi Otedola, Jimmy Jean-Louis, Joke Silva, Gabriel Afolayan, Adjetey Anang, Ini Edo, Sadiq Daba, Wole Olowomojuore, Yomi Fash-Lanso, Bukunmi Oluwashina, Bienvenu Neba, Ray Reboul, Ibukun Awosika, Seun Kuti'",b'Nigeria',2020-11-06,2020,b'TV-MA',b'151 min',"b'Dramas, International Movies'",b'A bright student in Nigeria takes on the academic establishment when she reports a popular professor who tried to rape her. Based on real events.'
b's1727',b'TV Show',b'Country Ever After',,,b'United States',2020-11-06,2020,b'TV-PG',b'1 Season',b'Reality TV',"b'Country artist Coffey Anderson and his wife, hip-hop dancer Criscilla, juggle family life, career goals and tests of faith in this reality series.'"
b's1728',b'Movie',"b""Girl's Revenge""",b'Weica Wang',"b'Wang Yu-ping, Yuri Chen, Shiny Yao, Pii Liu, Mike Lin, Edison Song, Xia Teng-hong, Moon Lee'",b'Taiwan',2020-11-06,2020,b'TV-MA',b'82 min',"b'Dramas, International Movies'","b'After a sex video subjects her friend to mockery and bullying, a transfer student sets out to reveal the truth as campus secrets come to light.'"
b's1729',b'Movie',b'The Endless Trench',"b'Aitor Arregi, Jon Gara\xc3\xb1o, Jose Mari Goenaga'","b'Antonio de la Torre, Bel\xc3\xa9n Cuesta, Vicente Vergara, Jos\xc3\xa9 Manuel Poga, Emilio Palacios'","b'Spain, France, Canada'",2020-11-06,2019,b'TV-MA',b'148 min',"b'Dramas, Independent Movies, International Movies'","b'Fearing retribution, a Republican from the Spanish Civil War hides in his home for more than 30 years with the help of his wife. Based on true events.'"
b's1730',b'Movie',b'The Late Bloomer',b'Kevin Pollak',"b'Johnny Simmons, Maria Bello, Brittany Snow, Kumail Nanjiani, Beck Bennett, Paul Wesley, Jane Lynch, J.K. Simmons, Lenora Crichlow'",b'United States',2020-11-06,2016,b'R',b'95 min',b'Comedies',"b'A sex therapist with pituitary issues finally gets to experience puberty in all its glory at age 30, when an operation unleashes his raging hormones.'"
b's1731',b'TV Show',b'Wrong Kind of Black',,"b'Clarence Ryan, Aaron L. McGrath, Lisa Flanagan, Tommy Lewis, Nilbi Yasserie, Christopher Ketchup, Boori Monty Pryor, Jacek Koman, Colin Lane, Arthur Angel, Toby Truslove'",b'Australia',2020-11-06,2018,b'TV-MA',b'1 Season',"b'International TV Shows, TV Comedies, TV Dramas'","b'In 1970s Melbourne, a DJ named Boori Monty Pryor and his brother Paul navigate racial tensions and police encounters amid disco and discrimination.'"
b's1732',b'Movie',b'A New York Christmas Wedding',b'Otoja Abit',"b'Nia Fairweather, Chris Noth, Cooper Koch, Tyra Ferrell, Denny Dillon, Adriana DeMeo, Otoja Abit, David Anzuelo, Camilla Harden, Natasha Goodman, Avery Whitted, Tony D. Head, Joe Perrino'",b'United States',2020-11-05,2020,b'TV-MA',b'90 min',"b'Dramas, LGBTQ Movies, Romantic Movies'","b""As her wedding nears, a bride-to-be is visited by an angel who reveals what could have been if she'd followed feelings for her childhood best friend."""
b's1733',b'Movie',b'Alone/Together',b'Antoinette Jadaone',"b'Liza Soberano, Enrique Gil, Adrian Alandy, Jasmine Curtis-Smith, Sylvia Sanchez, Nonie Buencamino, Xia Vigor, Richard Manabat'",b'Philippines',2020-11-05,2019,b'TV-14',b'103 min',"b'Dramas, International Movies, Romantic Movies'","b'Eight years after their breakup, college sweethearts Christine and Raf reconnect at different points in their lives as feelings from the past resurface.'"
b's1734',b'TV Show',b'Carmel: Who Killed Maria Marta?',b'Alejandro Hartmann',,b'Argentina',2020-11-05,2020,b'TV-14',b'1 Season',"b'Crime TV Shows, Docuseries, International TV Shows'","b'A woman is found dead in her bathtub, with a puddle of blood nearby. Her husband theorizes she had an accident. But an autopsy tells a different story.'"
b's1735',b'Movie',b'Midnight at the Magnolia',b'Maxwell McGuire',"b'Natalie Hall, Evan Williams, Michael Gordon Shore, Steve Cumyn, Albert Brooks'",b'Canada',2020-11-05,2020,b'TV-G',b'87 min',"b'Comedies, Romantic Movies'",b'Longtime friends and local radio hosts Maggie and Jack fake it as a couple for their families and listeners in hopes of getting their show syndicated.'
b's1736',b'Movie',b'One More Try',b'Ruel S. Bayani',"b'Angel Locsin, Angelica Panganiban, Dingdong Dantes, Zanjoe Marudo, Miguel Vergara, Gina Pare\xc3\xb1o, Carmina Villarroel, Agot Isidro'",b'Philippines',2020-11-05,2012,b'TV-14',b'102 min',"b'Dramas, International Movies, Romantic Movies'","b""When her son's condition becomes severe, a woman reconnects with the biological father. But the reunion puts a strain on their respective relationships."""
b's1737',b'Movie',b'Operation Christmas Drop',b'Martin Wood',"b'Kat Graham, Alexander Ludwig, Virginia Madsen, Janet Kidder, Jeff Joseph, Bethany Brown, Trezzo Mahoro, Rohan Campbell, Aliza Vellani, Aaron Douglas, Xavier de Guzman, Bruce Best'",b'United States',2020-11-05,2020,b'TV-G',b'96 min',"b'Children & Family Movies, Comedies, Romantic Movies'",b'A by-the-book political aide falls for a big-hearted Air Force pilot while looking to shut down his tropical base and its airborne Christmas tradition.'
b's1738',b'TV Show',b'Paranormal',,"b'Ahmed Amin, Razane Jammal, Ayah Samaha, Samaa Ibrahem, Roshdy El Shamy, Reem Abd El Kader'",b'Egypt',2020-11-05,2020,b'TV-14',b'1 Season',"b'International TV Shows, TV Dramas, TV Horror'","b'After a skeptical hematologist is plunged into a series of inexplicable events, he unwillingly becomes the go-to-guy for paranormal investigations.'"
b's1739',b'Movie',b'A Christmas Catch',,"b'Emily Alatalo, Lauren Holly, Yanic Truesdale, Franco Lo Presti, Andrew Bushell, Genelle Williams, Kyana Teresa, Eric Hicks'",b'Canada',2020-11-04,2018,b'TV-G',b'87 min',"b'Dramas, Romantic Movies'",b'A cop working undercover to trail a possible diamond thief gets caught in a tricky spot when she finds new clues \xe2\x80\x94 and new feelings \xe2\x80\x94 for the suspect.'
b's1740',b'Movie',b'Christmas with a Prince',b'Justin G. Dyck',"b'Kaitlyn Leeb, Nick Hounslow, Josh Dean, Melinda Shankar, Liam MacDonald, Ilamaria Ebrahim, Charles Shaughnessy, Julia Baldwin'",b'Canada',2020-11-04,2018,b'TV-PG',b'86 min',"b'Comedies, Dramas, Romantic Movies'",b'A dedicated pediatrician reconsiders her feelings for a carefree prince as he secretly recovers from a ski accident alongside her young patients.'
b's1741',b'TV Show',b'Love & Anarchy',,"b'Ida Engvoll, Bj\xc3\xb6rn Mosten, Carla Sehn, Reine Brynolfsson, Gizem Erdogan, Bj\xc3\xb6rn Kjellman, Ruben Lopez, Johannes Kuhnke, Elsa Agemalm Reiland, Benjamin Shaps, Disa \xc3\x96strand, Ejke Blomberg, Lars V\xc3\xa4ringer'",b'Sweden',2020-11-04,2020,b'TV-MA',b'1 Season',"b'International TV Shows, Romantic TV Shows, TV Comedies'",b'A married consultant and a young IT tech kick off a flirty game that challenges societal norms \xe2\x80\x94 and leads them to re-evaluate their entire lives.'
b's1742',b'Movie',b'Miss India',b'Narendra Nath',"b'Keerthy Suresh, Dr. Rajendra Prasad, Jagapathi Babu, V. K. Naresh, Nadhiya, Naveen Chandra, Sumanth Shailendra, Kamal Kamaraju, Praveen, Pujitha Ponnada, Divya Sripada'",b'India',2020-11-04,2020,b'TV-PG',b'136 min',"b'Dramas, International Movies'","b'Uprooted to America, an aspiring Indian entrepreneur confronts disapproval, sexism and rivalry as she draws from her culture to start a tea business.'"
b's1743',b'Movie',b'Felix Lobrecht: Hype',b'Jan-Peter Horns',b'Felix Lobrecht',b'Germany',2020-11-03,2020,b'TV-MA',b'60 min',b'Stand-Up Comedy',"b'Felix Lobrecht aims his dark humor at overly polite culture, weird laughter, the sheer awkwardness of a walking baby and more in this stand-up special.'"
b's1744',b'Movie',b'MOTHER',b'Tatsushi Omori',"b'Masami Nagasawa, Sadao Abe, Daiken Okudaira'",b'Japan',2020-11-03,2020,b'TV-14',b'127 min',"b'Dramas, International Movies'","b'Shuhei\xe2\x80\x99s erratic mother feels threatened when he starts to awaken to a world beyond her distorted control, sending the family hurtling towards tragedy.'"
b's1745',b'Movie',b'The Beginning of Life',b'Estela Renner',,,2020-11-03,2016,b'TV-PG',b'96 min',"b'Documentaries, International Movies'","b""Scientists, advocates and parents around the world explore how carefully tending to kids' earliest needs can shape the course of human society."""
b's1746',b'Movie',b'Ya no estoy aqu\xc3\xad: Una conversaci\xc3\xb3n entre Guillermo del Toro y Alfonso Cuar\xc3\xb3n',,"b'Guillermo del Toro, Alfonso Cuar\xc3\xb3n'",,2020-11-03,2020,b'TV-PG',b'15 min',b'Documentaries',"b'Guillermo del Toro and Alfonso Cuar\xc3\xb3n discuss fellow Mexican director Fernando Fr\xc3\xadas de la Parra\'s award-winning film ""I\'m No Longer Here.""'"
b's1747',b'TV Show',b'Can You Hear Me?',,"b'M\xc3\xa9lissa B\xc3\xa9dard, \xc3\x88ve Landry, Florence Longpr\xc3\xa9'",b'Canada',2020-11-02,2020,b'TV-MA',b'2 Seasons',"b'International TV Shows, TV Comedies, TV Dramas'",b'Three friends in a low-income neighborhood find humor and hope in their lives as they grapple with bad boyfriends and their dysfunctional families.'
b's1748',b'Movie',b'Prospect',"b'Zeek Earl, Christopher Caldwell'","b'Sophie Thatcher, Pedro Pascal, Jay Duplass, Andre Royo, Sheila Vand, Anwan Glover'","b'Canada, United States'",2020-11-02,2018,b'R',b'100 min',"b'Sci-Fi & Fantasy, Thrillers'",b'A father and daughter travel to an alien moon in search of a valuable gem but are forced to alter their plans when a nefarious outlaw gets involved.'
b's1749',b'TV Show',b'60 Days In',,,b'United States',2020-11-01,2019,b'TV-MA',b'1 Season',b'Reality TV',"b'Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries.'"
b's1750',b'Movie',b'Christmas Break-In',b'Michael Kampa',"b""Danny Glover, Denise Richards, Cameron Seely, Sean O'Bryan, Katrina Begin, Jake Van Wagoner, Douglas Spain, Dawson Ehlke""",b'United States',2020-11-01,2019,b'TV-PG',b'87 min',"b'Children & Family Movies, Comedies'","b'Stranded at school before holiday break, a precocious girl gets into the spirit of saving when a trio of robbers trespass and hold the janitor hostage.'"
b's1751',b'TV Show',"b""Dawson's Creek""",,"b'James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson, Kerr Smith, Meredith Monroe, Busy Philipps, Mary Beth Peil'",b'United States',2020-11-01,2002,b'TV-14',b'6 Seasons',"b'Romantic TV Shows, TV Dramas, Teen TV Shows'","b'This nighttime soap about a group of close-knit teens frankly depicts the issues of adolescence that obsess young adults, including sex, sex and sex.'"
b's1752',b'Movie',b'Elf Pets: A Fox Cub\xe2\x80\x99s Christmas Tale',b'Chanda Bell',"b'Leslie Bellair, Brad Hyland, Brody Rose, Carol Aebersold'",b'United States',2020-11-01,2020,b'TV-Y',b'28 min',b'Children & Family Movies',b'An elite team of elves \xe2\x80\x93 and their furry fox cub friends \xe2\x80\x93 help bring the Christmas spirit to a boy whose mom may not make it home for the holidays.'
b's1753',b'Movie',b'Elf Pets: Santa\xe2\x80\x99s Reindeer Rescue',b'Chanda Bell',"b'Brad Hyland, Drew Barber, Ashley Roberts, Lowrey Brown, Kristyl Tift, Manny Mahen, Olivia Berkeley, Eleanor Rocha'",b'United States',2020-11-01,2020,b'TV-Y',b'27 min',b'Children & Family Movies',"b'Determined to help Santa get ready for his merry rounds of gift-giving, a team of special elves wrangles in more reindeer and much-needed holiday magic.'"
b's1754',b'Movie',b'Elliot the Littlest Reindeer',b'Jennifer Westcott',"b'Josh Hutcherson, Samantha Bee, Martin Short, Morena Baccarin, Jeff Dunham, John Cleese'",b'Canada',2020-11-01,2018,b'PG',b'90 min',b'Children & Family Movies',"b""When Blitzen suddenly retires, a miniature horse determined to join Santa's reindeer team faces fierce competition in the North Pole tryouts."""
b's1755',b'TV Show',b'Forged in Fire',,b'Wil Willis',b'United States',2020-11-01,2019,b'TV-14',b'1 Season',b'Reality TV',b'Bladesmiths vie for a cash prize by forging the best metal weapons from the pages of history in this competition series featuring expert judges.'
